25321,1500
25322,1500
25323,162
25324,697
25325,479
25326,590
25327,1500
25328,1003
25329,899
25330,1246
25331,270
25332,334
25333,864
25334,1371
25335,196
25336,586
25337,440
25338,78
25339,1483
25340,1239
25341,452
25342,103
25343,1500
25344,1500
25345,354
25346,668
25347,1500
25348,1228
25349,748
25350,1500
25351,973
25352,429
25353,1500
25354,841
25355,385
25356,1500
25357,1500
25358,396
25359,1500
25360,194
25361,556
25362,1500
25363,712
25364,1500
25365,1294
25366,531
25367,1500
25368,889
25369,610
25370,755
