25321,136
25322,119
25323,119
25324,88
25325,142
25326,199
25327,183
25328,942
25329,94
25330,1500
25331,449
25332,137
25333,527
25334,125
25335,797
25336,91
25337,117
25338,96
25339,260
25340,613
25341,191
25342,233
25343,134
25344,1500
25345,527
25346,1020
25347,48
25348,122
25349,103
25350,121
25351,158
25352,10
25353,111
25354,119
25355,137
25356,177
25357,158
25358,590
25359,546
25360,1323
25361,102
25362,179
25363,1475
25364,179
25365,180
25366,450
25367,348
25368,1129
25369,456
25370,503
